Family,Species,Type,Locality,a,b
Sciaenidae,Cynoscion jamaicensis,TL,"Pará (0°S - 25°S), 2003-2004",0.00601,3.133
Sciaenidae,Cynoscion jamaicensis,TL,Cabo de São Tomé and Torres,0.00794,3.1
Sciaenidae,Cynoscion jamaicensis,TL,Cabo de São Tomé and Torres,0.00501,3.25
Sciaenidae,Cynoscion jamaicensis,TL,"Tucuruí, São Paulo",0.00868,3.08
Sciaenidae,Cynoscion jamaicensis,TL,"Southeastern region, 1995-1996",0.0056,3.17
Sciaenidae,Cynoscion jamaicensis,TL,Parana´ state coast / 2004 - 2005,0.00517,3.13
Sciaenidae,Cynoscion jamaicensis,TL,Southeastern coast / 2004-2006.,0.05212,2.172
Sciaenidae,Cynoscion jamaicensis,TL,North Rio de Janeiro / 1996-2017.,0.0097,2.97
Sciaenidae,Cynoscion jamaicensis,TL,Itaipu/2001-2004,0.001,3.06
Sciaenidae,Cynoscion leiarchus,TL,"Pará (0°S - 25°S), 2003-2004",0.00441,3.332
Sciaenidae,Cynoscion leiarchus,TL,"Paraná (0°S - 25°S), 2003-2004",0.0135,2.872
Sciaenidae,Cynoscion leiarchus,TL,"Ilha de Paciência, Maranhão, 2006-2007",0.0125,3.035
Sciaenidae,Cynoscion leiarchus,TL,Parana´ state coast / 2004 - 2005,0.00216,3.51
Sciaenidae,Cynoscion nannus,TL,"Jalisco and Colima, 1995-96",0.0133,2.92
Sciaenidae,Cynoscion phoxocephalus,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.007,3.008
Sciaenidae,Cynoscion phoxocephalus,TL,continental coast / 2012-2014,0.0227,2.7802
Sciaenidae,Cynoscion praedatorius,TL,Golfito,0.00838,3
Sciaenidae,Cynoscion reticulatus,TL,NA,0.00865,3
Sciaenidae,Cynoscion reticulatus,TL,"Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",0.014,2.875
Sciaenidae,Cynoscion reticulatus,TL,"near mouth of Rio Verde, Oaxaca / 2009-2010.",0.0163,2.88
Sciaenidae,Cynoscion squamipinnis,TL,continental coast / 2012-2014,0.0067,3.0823
Sciaenidae,Cynoscion stolzmanni,TL,NA,0.00618,3
Sciaenidae,Cynoscion virescens,TL,NA,0.00894,3
Sciaenidae,Cynoscion virescens,TL,southern Bahia / 2003-2005,0.005,3.054
Sciaenidae,Cynoscion virescens,TL,Parana´ state coast / 2004 - 2005,0.00446,3.1
Sciaenidae,Cynoscion virescens,TL,Southeastern coast / 2004-2006.,0.00133,3.508
Sciaenidae,Cynoscion virescens,TL,Southeastern coast / 2004-2006.,0.02172,2.689
Sciaenidae,Cynoscion virescens,TL,Pernambuco / 2011-2014.,0.0108,2.86
Sciaenidae,Cynoscion virescens,TL,North Rio de Janeiro / 1996-2017.,0.0091,2.95
Mugilidae,Dajaus monticola,TL,"Biosphere Barranca de Metztitlán, Hidalgo State (20°14' - 20°45'N and 98°23' - 98°57'W)",0.0081,3.107
Carangidae,Decapterus macarellus,TL,1984,0.00783,3.14
Carangidae,Decapterus macrosoma,TL,1966-69,0.00564,3.17
Carangidae,Decapterus macrosoma,TL,Western region,0.0076,3.005
Carangidae,Decapterus macrosoma,TL,"Sarawak / 1997, 1998.",0.0076,3.1082
Carangidae,Decapterus macrosoma,TL,Palawan / 1998-2014,0.01,2.95
Carangidae,Decapterus macrosoma,TL,Antique/2019-2020,0.02,2.78
Carangidae,Decapterus muroadsi,TL,NA,0.01094,3
Carangidae,Decapterus punctatus,TL,1984,0.0119,2.99
Carangidae,Decapterus punctatus,TL,Cape Verde Archipelago / 2008-2013,0.0084,3.0666
Carangidae,Decapterus tabl,TL,Southwestern EEZ of Brazil.,0.0078,3.14
Carangidae,Decapterus tabl,TL,"Camotes Sea, Visayas region, 2012-2013",0.0097,2.986
Gerreidae,Deckertichthys aureolus,TL,"Gulf of California, Mazatlán, Nayarit, and Acapulco, 2006-09",0.019,2.87
Gerreidae,Deckertichthys aureolus,TL,continental coast / 2012-2014,0.0089,3.2116
Gerreidae,Diapterus auratus,TL,"Central coast, 1993-2000",0.0185,2.896
Gerreidae,Diapterus auratus,TL,"Northern region (Curuçá Estuary), Pará, 2003-2004.",0.0128,3.04
